"WellCount","MeasuredEquipmentLeaks","MeasuredChemicalInjectionPumps","MeasuredTanks","HCProduced","WaterProduced","GasProduced","Wellheadpressure","Age","ProducingType","WellStruct","TotalPneumaticControllers","TotalChemicalInjectionPumps","Combuster","tracerflux","emissionsSum"
12,4,6,4,967.97,149.71,7.8,3305,11.55,"shale gas","Vertical",10,8,"No","No",250.6617249
11,0,6,10,1580.99,874.61,45.55,3459,7.25,"Other Tight Reservoir Rock","Directional",29,6,"No","No",250.5848525
5,6,4,13,2684.35,1003.39,2.42,172.23,9.4,"shale gas","Horizontal",3,4,"No","No",250.571112
2,9,7,9,1216.99,375.91,22.05,1569.33,9.1,"shale gas","Directional",16,7,"No","Yes",249.340322
9,12,2,19,1443.77,1306.67,36.95,2629.78,8.7,"shale gas","Horizontal",6,2,"Yes","Yes",249.3090545
3,5,1,1,2133.21,1218.34,14.37,1022.73,7.3,"Other Tight Reservoir Rock","Horizontal",1,1,"No","Yes",248.518875
15,4,1,15,690.77,775.07,40.37,2888,9.45,"shale gas","Vertical",19,2,"No","No",248.4651042
1,7,5,10,1734.31,1437.34,21.63,1539.44,8.5,"shale gas","Horizontal",2,5,"No","No",248.442106
10,6,6,3,1122.34,77.21,4.02,2820,10.37,"Other Tight Reservoir Rock & Shale","Directional",22,8,"No","No",248.1965987
11,3,1,4,2106.54,102.41,5.33,3124,11.86,"Other Tight Reservoir Rock & Shale","Vertical",5,3,"No","Yes",247.7778235
15,6,1,3,743.94,281.25,14.65,3357,7.4,"Other Tight Reservoir Rock","Horizontal",30,2,"Yes","No",247.3955189
10,10,4,12,1086.69,112.37,5.85,3390,11.7,"shale gas","Directional",27,8,"No","No",247.0009756
14,11,1,8,1970.61,601.58,31.33,2992,10.02,"Other Tight Reservoir Rock","Directional",23,6,"No","Yes",246.9533501
8,6,2,9,180.37,1394.37,21.72,1545.84,8.5,"shale gas","Horizontal",5,2,"No","Yes",246.4522995
15,2,6,16,1331.83,440.33,22.93,3178,9.24,"Other Tight Reservoir Rock & Shale","Vertical",8,10,"No","Yes",246.1956028
7,8,6,9,1391.11,491.73,10.47,745.16,9.6,"Other Tight Reservoir Rock","Horizontal",16,6,"Yes","Yes",245.833907
1,10,8,4,259.62,1164.96,18.34,1305.28,6.3,"Other Tight Reservoir Rock","Horizontal",1,8,"No","Yes",245.6296975
1,7,6,10,1283.54,1335.9,25.43,1809.89,7.2,"Other Tight Reservoir Rock","Directional",13,6,"No","Yes",245.2060655
15,4,6,7,2292.4,255.52,13.31,2720,7.55,"shale gas","Vertical",9,8,"No","No",245.1104673
14,1,1,14,493.93,882.47,45.96,3253,8.8,"Other Tight Reservoir Rock & Shale","Vertical",7,5,"No","Yes",243.4396493
12,8,5,3,2378.67,334.55,17.42,2654,9.49,"Other Tight Reservoir Rock","Horizontal",24,7,"No","No",243.2894655
12,5,3,4,2618.45,67.27,3.5,3016,10.61,"shale gas","Vertical",5,4,"No","No",243.1611098
13,9,5,10,2804.67,23.73,1.24,2757,8.17,"Other Tight Reservoir Rock","Directional",30,9,"No","No",243.1093045
7,9,1,18,240.65,581.08,7.25,515.99,6.1,"Other Tight Reservoir Rock","Horizontal",2,1,"Yes","No",242.2811435
10,4,6,12,615.65,366.09,19.07,3164,11.42,"shale gas","Vertical",19,7,"No","No",241.5694124
14,10,3,14,906.92,812.51,42.32,2854,7.58,"Other Tight Reservoir Rock","Horizontal",25,8,"No","Yes",241.5079137
14,4,2,5,1521.11,665.57,34.67,2855,9.89,"Other Tight Reservoir Rock & Shale","Vertical",23,5,"No","No",241.4569618
3,11,8,20,649.99,946.35,38.34,2728.71,8.5,"Other Tight Reservoir Rock","Horizontal",13,8,"No","Yes",241.1819575
10,11,2,10,1583.6,261.89,13.64,3323,10.16,"shale gas","Directional",13,6,"No","Yes",240.8275057
14,7,1,1,961.76,258.5,13.46,2721,10.94,"Other Tight Reservoir Rock & Shale","Horizontal",32,5,"No","Yes",240.658784
14,12,1,9,117.86,476.1,24.8,2954,11.42,"Other Tight Reservoir Rock & Shale","Directional",23,6,"No","Yes",240.6319456
15,9,4,9,2649.38,112.79,5.87,3255,11.46,"Other Tight Reservoir Rock & Shale","Horizontal",26,7,"No","Yes",240.4071488
9,5,8,19,1623.35,1377.94,28.22,2008.46,8.3,"shale gas","Horizontal",17,8,"No","No",240.38201
13,2,5,18,1000.01,675.57,35.19,2872,7.51,"shale gas","Vertical",6,7,"No","No",240.1129792
6,9,6,11,385.29,390.34,39.47,2809.13,10,"Other Tight Reservoir Rock","Horizontal",6,6,"No","Yes",239.814663
12,1,5,10,2568.8,568.77,29.62,2882,11.21,"Other Tight Reservoir Rock & Shale","Vertical",23,7,"No","No",239.7711053
13,7,4,19,1252.12,503.66,26.23,2763,11.7,"Other Tight Reservoir Rock & Shale","Horizontal",20,4,"No","No",239.6629455
11,7,6,2,799.97,740.12,38.55,2987,11.83,"Other Tight Reservoir Rock & Shale","Horizontal",32,7,"No","No",239.6240196
1,13,7,10,2513.35,358.05,2.68,190.74,6.9,"Other Tight Reservoir Rock","Directional",2,2,"No","No",239.5885855
6,14,7,18,2956.45,440.29,16.92,1204.22,6,"Other Tight Reservoir Rock","Directional",2,7,"No","Yes",239.4827215
13,11,3,16,84.43,560.1,29.17,3464,8.61,"shale gas","Horizontal",30,6,"No","No",238.6002503
14,6,3,8,646.75,299.22,15.58,1323,8.83,"Other Tight Reservoir Rock","Horizontal",31,7,"No","Yes",238.590129
5,14,3,10,995.18,949.52,13.09,931.63,8.9,"shale gas","Directional",17,3,"No","No",237.5815915
6,6,8,20,1555.31,306.25,30.31,2157.2,8.6,"shale gas","Horizontal",9,8,"Yes","No",236.9701235
12,8,6,18,2924.98,474.54,24.72,3145,10.89,"shale gas","Horizontal",26,10,"No","Yes",236.4295261
10,12,5,9,2770.29,796.48,41.48,2723,9.6,"Other Tight Reservoir Rock","Horizontal",26,10,"No","No",235.673088
2,5,3,11,2798.72,397.17,23.75,1690.32,7.3,"shale gas","Horizontal",16,3,"No","No",235.0743395
8,6,4,20,1558.81,45.21,6.02,428.45,8.5,"Other Tight Reservoir Rock","Directional",9,4,"No","Yes",234.9796405
7,11,5,7,537.36,783.59,22.36,1591.39,9.4,"Other Tight Reservoir Rock","Directional",8,5,"No","Yes",234.48491
15,6,1,3,1722.84,527.41,27.47,3020,9.46,"shale gas","Directional",23,5,"No","No",234.4027582
10,9,4,4,720.82,681.42,35.49,3215,8.35,"shale gas","Horizontal",28,6,"No","Yes",234.3455158
4,3,2,15,999.42,1006.26,34.98,2489.57,8.3,"shale gas","Horizontal",11,2,"No","Yes",234.3333245
12,7,3,13,1114.55,518.19,26.99,2727,9.68,"Other Tight Reservoir Rock & Shale","Horizontal",29,7,"No","Yes",233.6096844
10,12,6,3,2301.87,202.47,10.55,2715,7.86,"Other Tight Reservoir Rock","Directional",28,10,"No","Yes",233.3321033
9,15,8,14,2573.87,369.11,13.91,989.99,7.3,"shale gas","Horizontal",17,8,"No","No",233.1546855
12,5,6,6,308.19,924.43,48.15,2620,9.4,"Other Tight Reservoir Rock & Shale","Vertical",9,10,"No","No",232.7056342
7,13,3,16,1939.33,280.64,9.37,666.88,8.3,"shale gas","Directional",4,3,"No","Yes",232.562165
2,14,9,2,2367.61,500.23,2.37,168.68,5.3,"Other Tight Reservoir Rock","Directional",1,9,"No","Yes",232.1573045
3,10,4,10,2532.5,1205.02,36.15,2572.84,7.9,"Other Tight Reservoir Rock","Horizontal",7,4,"No","Yes",231.970332
14,7,2,0,2738.88,519.98,27.08,2713,11.82,"Other Tight Reservoir Rock & Shale","Directional",24,6,"No","Yes",231.7950451
9,11,10,2,305.46,940.9,32.14,2287.45,7.1,"shale gas","Horizontal",2,10,"No","No",231.5874055
8,15,1,17,2721.04,1269.93,20.14,1433.39,5,"Other Tight Reservoir Rock","Horizontal",12,1,"Yes","No",231.543466
13,7,3,14,1870.74,748.35,38.98,2521,7.3,"shale gas","Horizontal",27,4,"No","Yes",231.3797324
14,11,3,18,2263.25,683,35.57,2889,10.75,"shale gas","Directional",29,7,"No","No",231.3519582
13,1,1,9,985,335.07,17.45,3015,10.96,"Other Tight Reservoir Rock","Vertical",19,2,"No","Yes",230.903655
12,1,5,12,2239.89,107.6,5.6,3296,11.54,"Other Tight Reservoir Rock","Vertical",7,6,"Yes","No",230.4222066
12,4,3,6,154.31,52.84,2.75,3216,11.08,"Other Tight Reservoir Rock","Vertical",6,3,"No","No",230.2472663
12,6,5,15,2113.46,232.06,12.09,2505,8.36,"Other Tight Reservoir Rock & Shale","Horizontal",25,7,"No","Yes",230.0555679
14,7,5,6,858.08,59.01,3.07,3120,7.63,"Other Tight Reservoir Rock","Directional",31,5,"No","Yes",229.9623665
13,5,5,5,2805.18,778.84,40.56,2840,9.3,"Other Tight Reservoir Rock","Vertical",7,8,"No","Yes",229.6272321
3,5,6,8,702.81,301.31,13.35,950.14,7.8,"shale gas","Horizontal",12,6,"No","No",229.1933985
10,5,2,1,1960.03,110.86,5.77,3221,10.94,"Other Tight Reservoir Rock","Vertical",6,2,"No","No",228.4537655
14,12,2,8,2731.83,114.32,5.95,2881,10.67,"shale gas","Horizontal",23,4,"No","Yes",227.9125845
9,7,7,15,2466.81,212.23,14.32,1019.17,8.2,"shale gas","Horizontal",10,7,"Yes","No",227.794127
14,2,6,2,2958.87,309.87,16.14,3300,10.13,"shale gas","Vertical",7,9,"No","No",227.5829522
12,9,1,4,2167.14,150.22,7.82,2835,11.75,"Other Tight Reservoir Rock & Shale","Horizontal",23,2,"No","No",227.5782067
15,1,4,11,201.43,879.56,45.81,3055,10.94,"shale gas","Vertical",8,5,"No","No",227.4141902
13,9,4,9,1285.31,625.25,32.57,3262,7.2,"Other Tight Reservoir Rock & Shale","Directional",21,6,"No","Yes",226.9055764
10,9,9,20,1209.5,837.43,9.82,698.9,8,"Other Tight Reservoir Rock","Horizontal",20,9,"No","No",226.898452
12,5,2,5,923.52,880.53,45.86,3174,10.74,"shale gas","Vertical",21,5,"No","Yes",226.8075994
8,5,9,16,2986.74,621.59,38.13,2713.76,8.1,"shale gas","Horizontal",13,9,"No","Yes",226.7350085
11,7,2,5,1319.45,801.25,41.73,2596,10.47,"Other Tight Reservoir Rock & Shale","Directional",27,4,"No","Yes",226.4680127
